Year,Rank,Recipient,Country,Career,Tied,Title
1999,1,"Dr. Destany Bauch",Somalia,"Explosives Expert",0,"Dr. Destany Bauch"
1999,2,"Roel Boyer",Myanmar,"Transportation Equipment Painters",0,"Roel Boyer"
1999,3,"Dr. Nathanial Weissnat",Spain,"Park Naturalist",0,"Dr. Nathanial Weissnat"
1999,4,"Bernardo Tillman I",Croatia,"Adjustment Clerk",0,"Bernardo Tillman I"
1999,5,"Fermin Stroman",Cameroon,"Ship Pilot",0,"Fermin Stroman"
1999,6,"Nyasia Senger DDS",Fiji,"Medical Assistant",0,"Nyasia Senger DDS"
1999,7,"Terrill Bartell",Madagascar,"Dental Hygienist",0,"Terrill Bartell"
1999,8,"Lavon Breitenberg",Korea,"Philosophy and Religion Teacher",0,"Lavon Breitenberg"
1999,9,"Issac Herman","Sri Lanka","Buffing and Polishing Operator",0,"Issac Herman"
1999,10,"Andy Koss","United States Minor Outlying Islands",Cook,0,"Andy Koss"
2000,1,"Verner Lind","Norfolk Island","Medical Equipment Repairer",0,"Verner Lind"
2000,2,"Hazle Corkery","French Polynesia","Production Planner",0,"Hazle Corkery"
2000,3,"Lavonne Bayer","Lao People's Democratic Republic","Food Servers",0,"Lavonne Bayer"
2000,4,"Prof. Akeem Haag",Norway,"Stationary Engineer OR Boiler Operator",0,"Prof. Akeem Haag"
2000,5,"Dr. Gerald Bechtelar IV",Guatemala,Council,0,"Dr. Gerald Bechtelar IV"
2000,6,"Dr. Rozella Weimann",Mongolia,"Gaming Supervisor",0,"Dr. Rozella Weimann"
2000,7,"Ms. May Heathcote",Eritrea,"Nursery Manager",0,"Ms. May Heathcote"
2000,8,"Ara Stroman","Libyan Arab Jamahiriya","Electrical Engineering Technician",0,"Ara Stroman"
2000,9,"Mable Ziemann","French Guiana",Editor,0,"Mable Ziemann"
2000,10,"Dr. Jameson Gorczany V",Philippines,Roofer,0,"Dr. Jameson Gorczany V"
2001,1,"Karolann Bednar",Venezuela,"Jewelry Model OR Mold Makers",0,"Karolann Bednar"
2001,2,"Kasey Langworth",Pakistan,"Animal Scientist",0,"Kasey Langworth"
2001,3,"Mrs. Lue Gerhold",Iran,"Boiler Operator",0,"Mrs. Lue Gerhold"
2001,4,"Amina Luettgen","Antarctica (the territory South of 60 deg S)","Radio Mechanic",0,"Amina Luettgen"
2001,5,"Prof. Scot Lemke DVM","Falkland Islands (Malvinas)","Excavating Machine Operator",0,"Prof. Scot Lemke DVM"
2001,6,"Malachi Fahey",Guinea,"Mail Machine Operator",0,"Malachi Fahey"
2001,7,"Dr. Nikita Sipes",Georgia,Infantry,0,"Dr. Nikita Sipes"
2001,8,"Dr. Colby Zemlak I",Honduras,"Sound Engineering Technician",0,"Dr. Colby Zemlak I"
2001,9,"Nicholas Collins",Pakistan,"Nursery Manager",0,"Nicholas Collins"
2001,10,"Margie Crooks III","French Southern Territories",Sculptor,0,"Margie Crooks III"
2002,1,"Wanda Herzog","Saudi Arabia","General Manager",0,"Wanda Herzog"
2002,2,"Ceasar Smitham",Greece,"Cutting Machine Operator",0,"Ceasar Smitham"
2002,3,"Jonathon Strosin","Slovakia (Slovak Republic)","Home Appliance Repairer",0,"Jonathon Strosin"
2002,4,"Mr. Jabari Reinger DVM",Austria,"Educational Counselor OR Vocationall Counselor",0,"Mr. Jabari Reinger DVM"
2002,5,"Laurel Crona I",Uruguay,"Tool and Die Maker",0,"Laurel Crona I"
2002,6,"Gerhard Jacobi MD",Lithuania,"Zoologists OR Wildlife Biologist",0,"Gerhard Jacobi MD"
2002,7,"Winnifred O'Conner II",Uruguay,"General Practitioner",0,"Winnifred O'Conner II"
2002,8,"Dr. Damon Renner Jr.","South Africa","Professional Photographer",0,"Dr. Damon Renner Jr."
2002,9,"Ronny Wyman",Lithuania,"Political Scientist",0,"Ronny Wyman"
2002,10,"Cleta Denesik",Aruba,"Transit Police OR Railroad Police",0,"Cleta Denesik"
2003,1,"Darrel Kassulke III",Mali,"Laundry OR Dry-Cleaning Worker",0,"Darrel Kassulke III"
2003,2,"Dashawn Bartell","Sao Tome and Principe","Maintenance Supervisor",0,"Dashawn Bartell"
2003,3,"Malcolm Boyle",Gambia,"Driver-Sales Worker",0,"Malcolm Boyle"
2003,4,"Rusty Effertz",Mali,"Motorboat Operator",0,"Rusty Effertz"
2003,5,"Mr. Garett Jerde",Norway,"Credit Checker",0,"Mr. Garett Jerde"
2003,6,"Burnice Kertzmann",Afghanistan,"Rail Car Repairer",0,"Burnice Kertzmann"
2003,7,"Monique Aufderhar PhD",Togo,"Mechanical Inspector",0,"Monique Aufderhar PhD"
2003,8,"Wanda Brown",Japan,"Instructional Coordinator",0,"Wanda Brown"
2003,9,"Dolores Gusikowski",Vanuatu,"Agricultural Manager",0,"Dolores Gusikowski"
2003,10,"Nikita Hodkiewicz",Turkmenistan,"Computer Repairer",0,"Nikita Hodkiewicz"
2004,1,"Aliyah Wisozk",Kiribati,Sheriff,0,"Aliyah Wisozk"
2004,2,"Otha Gleason",Croatia,"Boiler Operator",0,"Otha Gleason"
2004,3,"Dr. Kennith Towne DDS",Barbados,"Market Research Analyst",0,"Dr. Kennith Towne DDS"
2004,4,"Louvenia Kautzer",Montenegro,"Radiologic Technician",0,"Louvenia Kautzer"
2004,5,"Ward Weber",Azerbaijan,"Underground Mining",0,"Ward Weber"
2004,6,"Desmond Kunde Jr.",Bahamas,"Production Planner",0,"Desmond Kunde Jr."
2004,7,"Alexanne Renner IV",Turkmenistan,Electrician,0,"Alexanne Renner IV"
2004,8,"Neva Kerluke","Russian Federation","Psychiatric Technician",0,"Neva Kerluke"
2004,9,"Kieran Romaguera",Belarus,"Extraction Worker",0,"Kieran Romaguera"
2004,10,"Ettie Moore","Holy See (Vatican City State)","Mechanical Inspector",0,"Ettie Moore"
2005,1,"Nannie Hessel",Iceland,Assembler,0,"Nannie Hessel"
2005,2,"Leif Hilpert",Panama,"Range Manager",0,"Leif Hilpert"
2005,3,"Olga Grady",Jersey,"Public Transportation Inspector",0,"Olga Grady"
2005,4,"Lillian Klocko",Tuvalu,Inspector,0,"Lillian Klocko"
2005,5,"Gage Ankunding",Uganda,"Train Crew",0,"Gage Ankunding"
2005,6,"Ms. Karianne Stracke DDS",Iran,"Lay-Out Worker",0,"Ms. Karianne Stracke DDS"
2005,7,"Araceli Langworth V",Vietnam,"Business Teacher",0,"Araceli Langworth V"
2005,8,"Alexandria DuBuque",Ukraine,"Precision Etcher and Engraver",0,"Alexandria DuBuque"
2005,9,"Mrs. Susie Funk I",Bolivia,"Nonfarm Animal Caretaker",0,"Mrs. Susie Funk I"
